,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length,Embedding
0,1,['org:resource'],road_traffic_fine_management_process,0.8099975675018244,0.6787698362618348,0.732094520467192,0.8099975675018244,2153.6139583587646,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
1,1,['org:resource'],bpi_challenge_2017,0.9037322892216653,0.8734256400786301,0.8799651094965101,0.9037322892216653,2364.73269739151,dense-single,Average Case Length,With Embedding
2,1,['org:resource'],bpi_challenge_2017,0.8565636221381739,0.8188820225174336,0.8303719878961052,0.8565636221381739,6060.008304929734,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
3,1,['org:group'],sepsis,0.6486371681415929,0.6278870821759951,0.6072093489782133,0.6486371681415929,29.2626935005188,dense-single,Average Case Length,With Embedding
4,1,['org:group'],sepsis,0.5818053097345133,0.5248565127234128,0.5192339878164909,0.5818053097345133,109.77921175956726,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
5,1,['Resource'],helpdesk,0.8117618990814744,0.758232721298904,0.7628510428234415,0.8117618990814744,97.79356722831726,transformer-multiple,Average Case Length,With Embedding
6,1,['org:role'],bpi_challenge_2020,0.828171456888008,0.7781482763450054,0.7900118276067472,0.828171456888008,147.33854374885559,transformer-single,Average Case Length,With Embedding
7,1,['Resource'],helpdesk,0.8103900751520935,0.7845280253584656,0.7735804661029565,0.8103900751520935,179.7553729534149,bi-lstm-single,Average Case Length,With Embedding
8,1,['Resource'],helpdesk,0.8136108791602051,0.7913186443805631,0.7677193329043568,0.8136108791602051,486.38613080978394,bi-lstm-multiple,Average Case Length,With Embedding
9,1,['org:role'],bpi_challenge_2020,0.7474603567888999,0.7097834891284841,0.7030409512347223,0.7474603567888999,127.28479504585266,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
10,1,['org:resource'],road_traffic_fine_management_process,0.8091510581367064,0.678394588135036,0.731550437004079,0.8091510581367064,3057.1965388298036,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
11,1,['org:group'],sepsis,0.6435398230088496,0.6274630820204978,0.6067360583140401,0.6435398230088496,48.67826166152954,transformer-single,Average Case Length,With Embedding
12,1,['org:role'],bpi_challenge_2020,0.8295341922695738,0.7745964820286787,0.7886708532076151,0.8295341922695738,32.44879808425903,dense-single,Average Case Length,With Embedding
13,1,['org:resource'],road_traffic_fine_management_process,0.8112551690586232,0.6863475457753753,0.7335136867972953,0.8112551690586232,1304.7856090068817,transformer-single,Average Case Length,With Embedding
14,1,['org:group'],sepsis,0.6504070796460177,0.641265949982921,0.6157365841938036,0.6504070796460177,391.4886764526367,bi-lstm-single,Average Case Length,With Embedding
15,1,['org:resource'],road_traffic_fine_management_process,0.8113962539528096,0.6834931807126546,0.7335778356168714,0.8113962539528096,1030.5704287052154,dense-multiple,Average Case Length,With Embedding
16,1,['org:resource'],bpi_challenge_2017,0.8769914482607819,0.8381876614759121,0.85129159915407,0.8769914482607819,8715.578778028488,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
17,1,['org:group'],sepsis,0.528070796460177,0.4657060679378594,0.46612480007577844,0.528070796460177,76.48804574012756,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
18,1,['org:group'],sepsis,0.6433982300884956,0.6346282444109368,0.606044470880122,0.6433982300884956,36.43435559272766,dense-multiple,Average Case Length,With Embedding
19,1,['org:resource'],bpi_challenge_2017,0.9043515472053955,0.8740613317556675,0.8802685081655981,0.9043515472053955,2933.221052789688,dense-multiple,Average Case Length,With Embedding
20,1,['org:role'],bpi_challenge_2020,0.7263999008919723,0.6725888148904411,0.6758800662898135,0.7263999008919723,87.7594036102295,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
21,1,['org:role'],bpi_challenge_2020,0.8186942517343905,0.7691289116878588,0.778383558535994,0.8186942517343905,234.58212943077086,transformer-multiple,Average Case Length,With Embedding
22,1,['org:resource'],bpi_challenge_2017,0.900776933878622,0.8630625063226349,0.8757081495411266,0.900776933878622,6529.911496353149,transformer-multiple,Average Case Length,With Embedding
23,1,['org:resource'],bpi_challenge_2012,0.8621813656617558,0.8230785859781757,0.8299666490988734,0.8621813656617558,10068.233025074005,bi-lstm-single,Average Case Length,With Embedding
24,1,['org:resource'],road_traffic_fine_management_process,0.8116565312576015,0.6772496145752038,0.7333072440763939,0.8116565312576015,2262.645339870453,transformer-multiple,Average Case Length,With Embedding
25,1,['org:resource'],bpi_challenge_2012,0.8608245353458311,0.8261879162712904,0.8288817614075432,0.8608245353458311,764.2470921993256,transformer-single,Average Case Length,With Embedding
26,1,['Resource'],helpdesk,0.81432661338423,0.7821174308526855,0.76706861297261,0.81432661338423,42.520429611206055,dense-multiple,Average Case Length,With Embedding
27,1,['Resource'],helpdesk,0.7927949421448169,0.7185280860647008,0.7336107104040449,0.7927949421448169,131.87643060684204,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
28,1,['Resource'],helpdesk,0.7432303471310987,0.6426325883495301,0.6737667749212048,0.7432303471310987,90.23155875205994,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
29,1,['org:resource'],bpi_challenge_2012,0.8581991891132431,0.8187610223939202,0.8253432077378344,0.8581991891132431,1322.2820184230804,transformer-multiple,Average Case Length,With Embedding
30,1,['Resource'],helpdesk,0.8110461648574496,0.7783921820452608,0.7696494139966705,0.8110461648574496,33.95496463775635,dense-single,Average Case Length,With Embedding
31,1,['org:resource'],bpi_challenge_2012,0.8612460358877604,0.8278962736642301,0.8294024624235355,0.8612460358877604,459.85858860015867,dense-single,Average Case Length,With Embedding
32,1,['org:group'],sepsis,0.6520353982300885,0.6485393251996927,0.6168266807064217,0.6520353982300885,977.5276434421539,bi-lstm-multiple,Average Case Length,With Embedding
33,1,['org:resource'],bpi_challenge_2012,0.8627232949299506,0.8285750496650438,0.8309666323588999,0.8627232949299506,584.5648427009583,dense-multiple,Average Case Length,With Embedding
34,1,['org:resource'],bpi_challenge_2012,0.8309782826863634,0.7696044562317534,0.7876406858735797,0.8309782826863634,1914.54475107193,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
35,1,['org:resource'],bpi_challenge_2017,0.9013116311169876,0.8681870235974221,0.8772067539633293,0.9013116311169876,3999.178962421417,transformer-single,Average Case Length,With Embedding
36,1,['org:resource'],bpi_challenge_2012,0.8035245473887038,0.7424001583859758,0.7599135777927132,0.8035245473887038,1320.3970698833466,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
37,1,['org:role'],bpi_challenge_2020,0.833374628344896,0.780356400267169,0.7923247017664394,0.833374628344896,38.69182991981506,dense-multiple,Average Case Length,With Embedding
38,1,['Resource'],helpdesk,0.8096146964094,0.7771141008367664,0.7655219909879657,0.8096146964094,56.99192767143249,transformer-single,Average Case Length,With Embedding
39,1,['org:resource'],road_traffic_fine_management_process,0.811405983945512,0.6914088972528776,0.7335256193373086,0.811405983945512,823.3448841094971,dense-single,Average Case Length,With Embedding
40,1,['org:role'],bpi_challenge_2020,0.8230921704658077,0.778962481731102,0.7860347362322704,0.8230921704658077,152.14004034996032,bi-lstm-single,Average Case Length,With Embedding
41,1,['org:group'],sepsis,0.6463716814159292,0.6354595178195951,0.6108913593421487,0.6463716814159292,81.84913992881775,transformer-multiple,Average Case Length,With Embedding
42,1,['org:role'],bpi_challenge_2020,0.8286669970267592,0.7810420758569072,0.7908109056729992,0.8286669970267592,313.90388026237486,bi-lstm-multiple,Average Case Length,With Embedding
